timestamp,order_id,warehouse_id,product_id,inventory_quantity,order_quantity,daily_sales,incoming_stock,lead_time,vehicle_capacity,delivery_status,future_demand,demand_ratio,inventory_pressure,stock_gap
2025-01-01 00:00:00,ORD00001,WH02,PRD014,153,43,83,285,6.9,50,Processing,700,0.2792207792207792,0.21825962910128388,242
2025-01-01 01:00:00,ORD00002,WH01,PRD020,502,135,88,93,2.9,250,Delivered,306,0.268389662027833,1.6351791530944626,0
2025-01-01 02:00:00,ORD00003,WH05,PRD055,891,228,71,296,2.1,50,Shipping,134,0.2556053811659193,6.6,68
2025-01-01 03:00:00,ORD00004,WH04,PRD084,322,111,12,93,4.7,250,Delivered,59,0.34365325077399383,5.366666666666666,0
2025-01-01 04:00:00,ORD00005,WH04,PRD075,170,160,57,56,2.7,100,Shipping,166,0.935672514619883,1.0179640718562875,0
2025-01-01 05:00:00,ORD00006,WH03,PRD033,137,264,73,163,1.9,150,Pending,200,1.9130434782608696,0.681592039800995,0
2025-01-01 06:00:00,ORD00007,WH02,PRD034,761,225,99,97,3.7,150,Shipping,323,0.2952755905511811,2.3487654320987654,0
2025-01-01 07:00:00,ORD00008,WH09,PRD069,61,217,58,15,8.7,200,Pending,358,3.5,0.16991643454038996,0
2025-01-01 08:00:00,ORD00009,WH02,PRD055,678,45,26,77,1.2,250,Shipping,21,0.0662739322533137,30.818181818181817,32
2025-01-01 09:00:00,ORD00010,WH10,PRD073,191,214,75,71,3.6,250,Pending,278,1.1145833333333333,0.6845878136200717,0
2025-01-01 10:00:00,ORD00011,WH07,PRD047,498,59,5,269,4.8,50,Shipping,27,0.11823647294589178,17.785714285714285,210
2025-01-01 11:00:00,ORD00012,WH01,PRD079,277,132,80,286,5.6,250,Processing,388,0.4748201438848921,0.712082262210797,154
2025-01-01 12:00:00,ORD00013,WH01,PRD036,397,104,86,65,2.6,150,Delivered,217,0.2613065326633166,1.8211009174311927,0
